Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Dritter Termin: Neue Gastgeber und das Heizungsgesetz im Hinterkopf.,ARD
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,"Vielleicht weiss habe, dass er von hier aus nicht viel ausrichten kann.",ARD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,Vielen Dank.,SPD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,Das sagt die Fraktionschefin der Gruenen Katharina Droege.,SPD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,sie moechten Teil dieser Waermewende sein.,SPD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,"Wir bekommen die Rueckmeldung, dass die Menschen sagen,",SPD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,wenn Sie die Anschaffungskosten nicht tragen wollen.,SPD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,"Wir foerdern auch, dass sich Menschen eine Heizung leihen koennen,",SPD
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,hat Oliver Sallet vom Hessischen Rundfunk folgende Meinung.,SPD
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,Es wird weiterhin ab 2024 gelten.,SPD
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,Wir haben uns jetzt verstaendigt auf eine Entscheidungszeit.,SPD
O-Ton,2023-06-13,tagesthemen,"(Der ursprüngliche Gesetzentwurf und der jetzige Gesetzentwurf haben ja beide das Ziel,dass die Menschen, die sich eine neue Heizung einbauen, sich für eine klimaneutrale Heizung entscheiden.Und da war der Gesetzentwurf von Anfang an schon so ausgelegt, dass es unterschiedliche Optionen gab,wie das erfüllt werden kann. Sei es durch die Fernwärme, sei es durch die Wärmepumpe, über die vieldiskutiert wurde, um nur zwei Beispiele zu nennen. Und das war aber auch ein Punkt, der der FDP wichtigwar, den wir jetzt noch mal ein Stück gestärkt haben im parlamentarischen Verfahren, der aber schonverankert war. Und der zweite Punkt, der uns Grünen sehr wichtig war, ist das Thema soziale Unterstützungvon Menschen, die sich jetzt für eine neue Heizung entscheiden. Da hat die Bundesregierung auch schoneine sozial gestaffelte Förderung vorgesehen, aber hier schaffen wir es im Parlament jetzt noch einen Schrittvoranzukommen und weiterzuverhandeln, dass wir bis in die Breite der Gesellschaft hinein noch mehr sozialeUnterstützung hinkriegen)",,Katharina Dröge (Der ursprüngliche Gesetzentwurf und der jetzige Gesetzentwurf haben ja beide das Ziel,den wir ein wenig gestaerkt haben.,SPD
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,haben die Menschen die Moeglichkeit zu warten.,SPD
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,"Es waere gut gewesen, wenn neben dem Gesetzentwurf",SPD
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,auch das Konzept zur sozialen Unterstuetzung da gewesen waere.,SPD
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,"Wenn das da gewesen waere,",SPD
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,haetten wir viele Fragen der Menschen beantworten koennen.,SPD
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Dann ab zum naechsten Termin.,ARD
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Vielleicht eine Standleitung zur Gruenen-Fraktion.,ARD
O-Ton,2023-06-13,tagesthemen,"(Wenn man will, kannman zueinander kommen, aber man muss es auch wollen; und wenn man nicht will, dann liegt's nicht daran,15.11.2023 09:50 Seite 34 von 57 NDR Copyright (c) 2004",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Bald gehoert seine Aufmerksamkeit dem Smartphone.,SPD
